user_id,created_at,channel,device_os,region,age_band
U000118,2024-07-29 16:18:08,paid_social,Android,Dakahlia,35-44
U000119,2024-01-01 13:36:24,paid_social,Android,Sharqia,25-34
U000120,2024-05-04 20:51:18,partnership,iOS,Dakahlia,18-24
U000121,2024-03-16 21:09:28,referral,iOS,Alexandria,18-24
U000122,2024-11-25 01:41:43,paid_social,iOS,Dakahlia,18-24
U000123,2024-07-30 14:13:20,organic,iOS,Giza,18-24
U000124,2024-06-18 04:09:15,referral,iOS,Cairo,25-34
U000125,2024-08-08 00:02:15,referral,iOS,Sharqia,25-34
U000126,2024-10-01 12:08:55,partnership,Android,Alexandria,18-24
U000127,2024-11-07 13:12:30,paid_search,Android,Cairo,25-34
U000128,2024-05-27 05:07:22,referral,iOS,Alexandria,55+
U000129,2024-06-24 11:20:18,partnership,iOS,Giza,18-24
U000130,2024-07-04 12:51:28,organic,iOS,Giza,18-24
U000131,2024-01-21 02:31:35,organic,iOS,Giza,25-34
U000132,2024-05-01 12:35:46,paid_social,iOS,Cairo,25-34
U000133,2024-02-25 07:54:10,paid_social,Android,Giza,25-34
U000134,2024-10-07 15:09:20,organic,iOS,Sharqia,25-34
U000135,2024-08-06 14:23:54,paid_search,iOS,Alexandria,35-44
U000136,2024-07-04 12:37:24,organic,iOS,Giza,35-44
U000137,2024-08-08 00:16:41,paid_social,Web,Cairo,55+
U000138,2024-05-11 05:04:57,paid_social,Android,Cairo,25-34
U000139,2024-11-18 19:42:32,paid_search,Android,Giza,55+
U000140,2024-02-14 14:22:19,paid_social,iOS,Cairo,35-44
U000141,2024-07-04 08:10:46,referral,iOS,Giza,35-44
U000142,2024-11-08 14:33:44,paid_social,iOS,Giza,25-34
U000143,2024-10-30 18:15:35,paid_social,iOS,Alexandria,45-54
U000144,2024-07-24 17:02:03,organic,Android,Alexandria,45-54
U000145,2024-05-17 20:20:49,organic,iOS,Sharqia,18-24
U000146,2024-03-23 12:35:44,referral,iOS,Cairo,25-34
U000147,2024-02-22 14:39:43,paid_social,Android,Giza,45-54
U000148,2024-06-29 11:39:34,paid_search,iOS,Sharqia,25-34
U000149,2024-11-08 22:00:54,paid_social,Android,Sharqia,18-24
U000150,2024-08-25 13:16:45,referral,iOS,Giza,18-24
U000151,2024-08-30 03:07:03,partnership,iOS,Alexandria,25-34
U000152,2024-04-02 10:53:24,paid_social,iOS,Cairo,35-44
U000153,2024-05-31 07:14:42,partnership,Android,Cairo,18-24
U000154,2024-09-23 11:04:11,paid_social,iOS,Giza,35-44
U000155,2024-08-23 20:58:15,organic,iOS,Cairo,45-54
U000156,2024-03-04 20:13:09,referral,iOS,Dakahlia,18-24
U000157,2024-08-06 17:41:46,partnership,Android,Giza,18-24
U000158,2024-11-21 21:31:14,referral,Android,Cairo,35-44
U000159,2024-06-21 05:48:48,referral,iOS,Cairo,45-54
U000160,2024-01-06 16:27:14,partnership,iOS,Giza,18-24
U000161,2024-04-29 15:21:08,referral,Web,Cairo,35-44
U000162,2024-05-27 05:54:54,referral,Android,Giza,25-34
U000163,2024-04-24 16:41:49,referral,Android,Sharqia,18-24
U000164,2024-09-13 16:40:34,organic,iOS,Sharqia,35-44
U000165,2024-05-27 18:22:56,paid_social,iOS,Giza,25-34
U000166,2024-05-28 02:42:12,paid_social,Android,Dakahlia,35-44
U000167,2024-11-23 13:49:13,organic,Android,Giza,25-34
U000168,2024-03-21 00:42:30,referral,Android,Alexandria,35-44
U000169,2024-09-22 13:28:30,partnership,iOS,Giza,18-24
U000170,2024-10-28 15:47:25,partnership,Android,Cairo,25-34
U000171,2024-03-20 22:32:06,organic,Android,Cairo,25-34
U000172,2024-03-09 03:46:34,paid_search,Android,Giza,18-24
U000173,2024-10-08 15:49:34,organic,iOS,Sharqia,45-54
U000174,2024-03-16 08:27:05,paid_social,Android,Giza,18-24
U000175,2024-04-08 12:10:17,paid_search,Android,Alexandria,25-34
U000176,2024-04-01 07:02:19,paid_social,Android,Alexandria,35-44
U000177,2024-11-10 14:42:20,referral,Android,Alexandria,25-34
U000178,2024-11-14 11:29:54,paid_search,Web,Alexandria,25-34
U000179,2024-01-09 21:46:38,referral,Web,Sharqia,35-44
U000180,2024-09-12 10:35:11,paid_search,iOS,Alexandria,25-34
U000181,2024-06-27 20:28:22,paid_social,Android,Cairo,18-24
U000182,2024-11-25 02:14:08,organic,Android,Giza,25-34
U000183,2024-04-02 06:16:19,paid_social,iOS,Alexandria,25-34
U000184,2024-02-08 13:17:48,organic,iOS,Giza,35-44
U000185,2024-02-07 16:33:35,paid_search,iOS,Giza,25-34
U000186,2024-01-11 02:52:51,organic,Android,Giza,18-24
U000187,2024-03-06 10:37:17,referral,iOS,Cairo,25-34
U000188,2024-11-20 01:24:52,paid_social,Android,Cairo,25-34
U000189,2024-05-21 22:00:06,paid_social,Android,Alexandria,18-24
U000190,2024-07-24 10:46:04,organic,Android,Giza,45-54
U000191,2024-02-08 16:53:34,partnership,iOS,Cairo,25-34
U000192,2024-10-02 22:46:02,paid_social,Android,Alexandria,25-34
U000193,2024-04-21 03:14:43,organic,iOS,Sharqia,45-54
U000194,2024-09-23 03:03:40,paid_search,iOS,Cairo,18-24
U000195,2024-11-27 10:31:59,referral,Android,Dakahlia,25-34
U000196,2024-09-11 06:59:18,organic,Android,Dakahlia,35-44
U000197,2024-02-04 05:57:14,paid_search,iOS,Dakahlia,18-24
U000198,2024-09-04 02:58:29,referral,Android,Sharqia,35-44
U000199,2024-09-28 19:23:07,referral,iOS,Alexandria,35-44
U000200,2024-01-01 12:06:25,paid_social,iOS,Giza,25-34
U000201,2024-06-19 15:35:08,partnership,Android,Giza,18-24
U000202,2024-11-22 15:43:57,partnership,iOS,Cairo,55+
U000203,2024-01-30 09:24:08,paid_search,Android,Cairo,25-34
U000204,2024-07-14 10:46:12,paid_social,Android,Cairo,25-34
U000205,2024-07-31 09:59:33,referral,Android,Cairo,45-54
U000206,2024-06-18 11:46:35,paid_social,iOS,Giza,25-34
U000207,2024-05-01 15:54:59,paid_social,iOS,Sharqia,25-34
U000208,2024-04-06 03:21:01,organic,iOS,Dakahlia,45-54
U000209,2024-01-24 06:03:41,partnership,Web,Cairo,25-34
U000210,2024-01-14 21:44:42,partnership,iOS,Cairo,35-44
U000211,2024-07-19 10:59:11,organic,iOS,Giza,18-24
U000212,2024-05-16 20:03:05,paid_social,Android,Alexandria,35-44
U000213,2024-08-31 14:28:06,referral,Android,Dakahlia,25-34
U000214,2024-09-28 17:33:15,referral,Android,Giza,18-24
U000215,2024-08-23 09:28:56,paid_search,Web,Giza,18-24
U000216,2024-09-30 13:53:42,paid_search,iOS,Cairo,25-34
U000217,2024-01-29 18:06:53,referral,iOS,Cairo,35-44
U000218,2024-02-03 15:36:00,referral,iOS,Cairo,25-34
U000219,2024-11-19 11:26:56,paid_social,iOS,Alexandria,45-54
U000220,2024-03-09 05:39:04,referral,Android,Sharqia,25-34
U000221,2024-09-17 02:58:05,referral,iOS,Cairo,35-44
U000222,2024-01-26 20:50:00,paid_social,Android,Cairo,18-24
U000223,2024-10-01 03:22:27,referral,iOS,Giza,25-34
U000224,2024-02-20 00:37:32,paid_search,iOS,Cairo,18-24
U000225,2024-03-08 09:16:24,organic,Android,Dakahlia,45-54
U000226,2024-01-05 15:51:30,paid_social,iOS,Cairo,25-34
U000227,2024-01-30 11:53:41,paid_social,Android,Sharqia,25-34
U000228,2024-05-25 21:21:11,referral,Web,Sharqia,25-34
U000229,2024-05-21 03:33:46,referral,Android,Dakahlia,25-34
U000230,2024-06-15 10:55:04,referral,iOS,Cairo,35-44
U000231,2024-01-23 14:48:29,referral,Android,Cairo,25-34
U000232,2024-06-15 22:01:08,organic,iOS,Dakahlia,25-34
U000233,2024-09-02 08:54:56,paid_search,Android,Dakahlia,55+
U000234,2024-05-13 02:49:22,referral,iOS,Giza,55+
U000235,2024-07-07 06:27:53,paid_search,iOS,Alexandria,18-24
U000236,2024-03-24 09:32:27,referral,Web,Cairo,35-44
U000237,2024-04-06 08:08:55,paid_social,iOS,Sharqia,25-34
U000238,2024-09-25 22:01:50,organic,Android,Cairo,35-44
U000239,2024-07-29 04:51:06,organic,iOS,Cairo,25-34
U000240,2024-05-23 16:25:25,partnership,Android,Cairo,25-34
U000241,2024-01-01 16:58:07,organic,Web,Giza,55+
U000242,2024-06-06 08:44:15,partnership,iOS,Cairo,25-34
U000243,2024-06-18 17:39:35,partnership,Android,Alexandria,25-34
U000244,2024-09-25 08:52:03,organic,Android,Alexandria,35-44
U000245,2024-07-30 11:56:32,referral,Android,Cairo,18-24
U000246,2024-04-28 22:03:41,organic,iOS,Giza,25-34
U000247,2024-05-30 17:25:04,partnership,Android,Cairo,18-24
U000248,2024-07-13 15:16:09,paid_search,iOS,Cairo,35-44
U000249,2024-03-16 01:15:31,paid_social,iOS,Giza,35-44
U000250,2024-08-21 01:40:27,paid_search,iOS,Alexandria,18-24
U000251,2024-03-29 14:21:49,paid_social,Android,Cairo,18-24
U000252,2024-02-19 07:13:42,referral,Android,Sharqia,25-34
U000253,2024-09-08 14:00:33,paid_social,iOS,Sharqia,35-44
U000254,2024-03-07 06:26:10,organic,Android,Alexandria,25-34
U000255,2024-07-18 00:08:16,paid_search,Android,Alexandria,25-34
U000256,2024-06-27 11:37:20,referral,iOS,Cairo,25-34
U000257,2024-10-03 00:58:31,paid_social,Android,Dakahlia,25-34
U000258,2024-10-07 05:08:32,referral,iOS,Giza,18-24
U000259,2024-02-27 11:10:50,organic,iOS,Cairo,18-24
U000260,2024-01-10 09:52:48,referral,iOS,Dakahlia,18-24
U000261,2024-01-03 14:34:41,referral,Android,Alexandria,25-34
U000262,2024-05-13 04:11:45,paid_social,Web,Alexandria,18-24
U000263,2024-08-25 23:08:11,referral,iOS,Cairo,25-34
U000264,2024-08-16 20:29:41,referral,iOS,Cairo,25-34
U000265,2024-03-30 12:21:42,organic,Android,Sharqia,35-44
U000266,2024-09-15 22:32:04,paid_social,Android,Giza,25-34
U000267,2024-03-06 16:18:39,organic,Android,Cairo,18-24
U000268,2024-04-10 05:02:24,paid_social,Web,Alexandria,55+
U000269,2024-03-17 11:54:40,referral,Android,Giza,18-24
U000270,2024-09-14 20:12:02,referral,Android,Cairo,25-34
U000271,2024-02-20 14:28:13,organic,Android,Alexandria,45-54
U000272,2024-07-31 06:09:05,partnership,iOS,Giza,25-34
U000273,2024-09-09 10:00:11,partnership,Android,Cairo,35-44
U000274,2024-05-02 19:36:57,organic,iOS,Cairo,25-34
U000275,2024-03-04 09:40:47,referral,iOS,Cairo,18-24
U000276,2024-10-26 03:51:33,paid_search,iOS,Alexandria,25-34
U000277,2024-01-13 22:50:43,organic,Android,Giza,25-34
U000278,2024-05-15 15:01:10,paid_social,Android,Cairo,18-24
U000279,2024-07-08 06:03:54,paid_search,Android,Giza,18-24
U000280,2024-05-02 15:11:51,referral,iOS,Alexandria,25-34
U000281,2024-06-11 04:22:18,paid_social,Android,Giza,25-34
U000282,2024-03-23 05:07:10,referral,iOS,Cairo,45-54
U000283,2024-11-07 10:08:37,referral,Android,Giza,35-44
U000284,2024-01-30 14:37:11,referral,iOS,Giza,35-44
U000285,2024-03-18 01:58:28,paid_social,Android,Giza,25-34
U000286,2024-02-05 15:39:49,paid_social,Android,Giza,18-24
U000287,2024-01-20 05:38:29,paid_social,Android,Cairo,18-24
U000288,2024-08-12 22:09:14,organic,Android,Sharqia,25-34
U000289,2024-07-14 10:54:54,organic,Android,Dakahlia,35-44
U000290,2024-08-04 08:27:27,referral,iOS,Giza,45-54
U000291,2024-03-14 01:55:27,paid_social,Android,Dakahlia,35-44
U000292,2024-04-23 08:11:52,paid_social,Android,Alexandria,18-24
U000293,2024-01-24 05:49:47,partnership,Android,Cairo,35-44
U000294,2024-01-20 04:51:06,referral,iOS,Giza,25-34
U000295,2024-01-25 20:53:35,referral,Android,Sharqia,18-24
U000296,2024-03-26 03:15:40,paid_social,iOS,Cairo,25-34
U000297,2024-09-03 08:04:35,organic,iOS,Giza,25-34
U000298,2024-10-07 16:25:31,referral,Web,Dakahlia,35-44
U000299,2024-10-09 19:40:42,paid_social,Android,Sharqia,25-34
U000300,2024-03-15 02:53:23,paid_social,iOS,Cairo,18-24
U000301,2024-02-17 20:41:54,referral,Android,Cairo,18-24
U000302,2024-01-11 12:58:01,paid_search,iOS,Cairo,18-24
U000303,2024-07-31 18:53:54,paid_search,Android,Giza,55+
U000304,2024-08-27 06:47:26,organic,Android,Sharqia,55+
U000305,2024-09-01 09:00:03,organic,Android,Giza,55+
U000306,2024-08-14 01:43:59,paid_social,Android,Sharqia,25-34
U000307,2024-04-30 14:59:18,organic,iOS,Giza,18-24
U000308,2024-05-03 20:23:15,organic,iOS,Giza,55+
U000309,2024-05-30 06:53:28,paid_social,Android,Cairo,55+
U000310,2024-06-19 21:22:40,paid_search,iOS,Cairo,18-24
U000311,2024-07-14 00:08:31,paid_social,Web,Cairo,35-44
U000312,2024-04-15 16:49:42,referral,Android,Cairo,18-24
U000313,2024-03-29 02:48:07,organic,iOS,Cairo,45-54
U000314,2024-08-22 01:23:12,organic,Android,Cairo,18-24
U000315,2024-07-08 15:36:42,organic,iOS,Alexandria,45-54
U000316,2024-09-11 22:57:31,paid_social,iOS,Alexandria,18-24
U000317,2024-02-11 19:30:00,paid_search,iOS,Cairo,25-34
U000318,2024-07-22 17:43:52,referral,Web,Giza,25-34
U000319,2024-10-22 14:35:29,referral,iOS,Giza,25-34
U000320,2024-05-20 02:44:38,partnership,iOS,Giza,25-34
U000321,2024-04-28 13:58:54,organic,iOS,Giza,35-44
U000322,2024-04-26 06:57:33,paid_social,iOS,Giza,18-24
U000323,2024-01-24 10:59:53,paid_search,iOS,Sharqia,35-44
U000324,2024-01-07 10:03:14,paid_social,Android,Cairo,18-24
U000325,2024-04-08 19:12:06,paid_social,Web,Cairo,18-24
U000326,2024-07-04 14:53:47,referral,iOS,Cairo,25-34
U000327,2024-06-02 02:29:35,partnership,Android,Giza,18-24
U000328,2024-08-22 17:48:09,paid_social,Web,Alexandria,55+
U000329,2024-10-05 16:01:51,organic,iOS,Alexandria,35-44
U000330,2024-01-26 12:24:24,paid_social,iOS,Cairo,35-44
U000331,2024-02-20 06:02:27,organic,Android,Giza,18-24
U000332,2024-11-04 20:29:47,referral,Android,Giza,18-24
U000333,2024-05-29 23:02:08,organic,iOS,Cairo,55+
U000334,2024-07-21 03:09:52,paid_social,iOS,Alexandria,18-24
U000335,2024-08-10 19:03:25,organic,iOS,Dakahlia,35-44
U000336,2024-11-23 15:04:43,partnership,iOS,Giza,18-24
U000337,2024-06-28 06:03:48,organic,Android,Cairo,25-34
U000338,2024-04-08 10:53:24,referral,Android,Dakahlia,35-44
U000339,2024-01-15 08:44:42,partnership,Android,Cairo,45-54
U000340,2024-03-01 00:08:22,paid_social,iOS,Alexandria,18-24
U000341,2024-06-02 17:14:48,organic,iOS,Cairo,18-24
U000342,2024-09-27 02:50:16,paid_search,iOS,Sharqia,35-44
U000343,2024-09-28 09:31:14,paid_social,Android,Cairo,18-24
U000344,2024-09-07 19:18:42,referral,Android,Cairo,18-24
U000345,2024-05-24 17:07:27,paid_social,iOS,Sharqia,18-24
U000346,2024-11-18 09:12:34,organic,iOS,Giza,25-34
U000347,2024-08-24 17:02:11,organic,Android,Giza,35-44
U000348,2024-07-31 10:59:35,referral,Android,Cairo,55+
U000349,2024-10-28 18:32:21,referral,iOS,Alexandria,18-24
U000350,2024-11-16 00:53:11,referral,iOS,Sharqia,18-24
U000351,2024-09-03 10:38:24,referral,iOS,Giza,25-34
U000352,2024-03-10 22:11:35,paid_social,Android,Dakahlia,18-24
U000353,2024-10-26 00:07:38,paid_search,Android,Sharqia,25-34
U000354,2024-10-22 15:38:24,paid_social,Android,Giza,25-34
U000355,2024-09-24 09:03:03,paid_search,Android,Cairo,18-24
U000356,2024-07-22 08:19:47,organic,Web,Cairo,25-34
U000357,2024-01-06 19:12:37,referral,iOS,Cairo,55+
U000358,2024-09-01 20:39:03,organic,iOS,Alexandria,45-54
U000359,2024-08-29 22:01:55,referral,Android,Sharqia,25-34
U000360,2024-05-07 08:08:29,referral,iOS,Alexandria,25-34
U000361,2024-03-09 19:49:54,paid_social,Android,Sharqia,25-34
U000362,2024-09-10 06:53:35,referral,Android,Dakahlia,45-54
U000363,2024-05-10 21:49:12,paid_social,Android,Sharqia,55+
U000364,2024-09-01 06:26:32,paid_social,iOS,Sharqia,35-44
U000365,2024-09-08 14:42:36,referral,iOS,Giza,25-34
U000366,2024-05-12 18:36:01,paid_social,iOS,Dakahlia,18-24
U000367,2024-08-14 13:58:23,referral,Android,Giza,55+
U000368,2024-02-03 14:55:41,paid_social,iOS,Giza,45-54
U000369,2024-04-02 09:37:21,paid_social,iOS,Giza,35-44
U000370,2024-03-02 13:53:05,paid_social,iOS,Giza,25-34
U000371,2024-08-06 11:40:37,partnership,Web,Alexandria,25-34
U000372,2024-06-03 16:19:46,paid_social,Android,Alexandria,18-24
U000373,2024-06-24 04:00:15,organic,Android,Cairo,45-54
U000374,2024-04-22 20:10:36,paid_social,Android,Cairo,45-54
U000375,2024-10-01 08:47:36,partnership,Android,Alexandria,18-24
U000376,2024-07-20 08:08:03,paid_social,iOS,Dakahlia,35-44
U000377,2024-03-02 17:25:52,partnership,iOS,Giza,18-24
U000378,2024-05-01 19:23:47,organic,Android,Cairo,25-34
U000379,2024-05-22 20:54:56,paid_social,Android,Dakahlia,25-34
U000380,2024-03-25 19:35:41,paid_search,iOS,Sharqia,25-34
U000381,2024-09-09 21:16:04,referral,iOS,Dakahlia,25-34
U000382,2024-08-01 22:45:39,referral,Android,Giza,25-34
U000383,2024-02-29 10:10:07,paid_search,iOS,Cairo,35-44
U000384,2024-04-08 13:49:59,partnership,Android,Cairo,25-34
U000385,2024-09-29 02:01:42,referral,iOS,Giza,35-44
U000386,2024-04-18 20:40:34,referral,iOS,Cairo,25-34
U000387,2024-03-08 17:59:44,paid_search,iOS,Cairo,35-44
U000388,2024-06-16 16:29:51,organic,Android,Sharqia,45-54
U000389,2024-10-15 17:55:44,paid_search,Android,Giza,18-24
U000390,2024-06-21 21:05:51,organic,iOS,Cairo,25-34
U000391,2024-02-19 18:55:54,paid_social,Android,Cairo,18-24
U000392,2024-01-27 06:17:22,partnership,iOS,Alexandria,25-34
U000393,2024-06-23 23:40:05,paid_social,iOS,Cairo,18-24
U000394,2024-01-23 22:58:29,referral,Android,Giza,25-34
U000395,2024-03-30 14:02:21,referral,iOS,Cairo,35-44
U000396,2024-07-14 12:39:57,organic,Android,Dakahlia,25-34
U000397,2024-07-30 19:01:57,paid_social,Web,Dakahlia,25-34
U000398,2024-04-25 20:13:25,paid_search,Android,Giza,18-24
U000399,2024-05-02 22:04:28,referral,Android,Giza,18-24
U000400,2024-04-27 16:07:14,referral,Android,Cairo,35-44
U000401,2024-03-11 15:58:45,paid_search,iOS,Giza,18-24
U000402,2024-11-01 03:40:10,referral,iOS,Giza,45-54
U000403,2024-08-21 23:30:34,paid_social,iOS,Giza,25-34
U000404,2024-10-12 18:35:13,paid_social,Web,Cairo,25-34
U000405,2024-11-10 14:05:08,partnership,iOS,Cairo,18-24
U000406,2024-05-11 02:10:37,paid_social,Android,Cairo,25-34
U000407,2024-08-10 14:53:20,referral,Android,Giza,45-54
U000408,2024-11-23 15:49:47,referral,Android,Giza,55+
U000409,2024-08-29 16:03:58,referral,Web,Giza,18-24
U000410,2024-01-17 09:56:15,paid_social,Android,Giza,35-44
U000411,2024-08-26 05:45:04,referral,iOS,Cairo,18-24
U000412,2024-06-29 02:07:55,referral,Android,Dakahlia,25-34
U000413,2024-07-03 00:47:56,partnership,iOS,Alexandria,25-34
U000414,2024-03-25 02:16:35,paid_social,iOS,Cairo,55+
U000415,2024-02-13 16:02:42,referral,Android,Giza,18-24
