case_id,user_id,submitted_time,decision_time,decision,failure_reason,device_os,region
KYC000019,U000036,2024-09-06 20:46:49.905051,2024-09-08 21:41:44.584372,approved,,Web,Alexandria
KYC000020,U000037,2024-11-07 08:06:14.819003,2024-11-11 16:59:23.245165,approved,,iOS,Cairo
KYC000021,U000038,2024-05-27 02:08:47.546454,2024-05-27 09:12:02.564356,approved,,Android,Sharqia
KYC000022,U000040,2024-07-15 07:26:00.844845,2024-07-16 16:44:54.223286,rejected,document_quality,iOS,Sharqia
KYC000023,U000042,2024-08-07 01:51:13.627236,2024-08-09 18:28:30.151716,approved,,iOS,Alexandria
KYC000024,U000045,2024-11-18 10:10:12.116296,2024-11-18 10:58:25.568651,rejected,identity_mismatch,Android,Cairo
KYC000025,U000046,2024-10-17 11:22:25.866862,2024-10-18 22:14:16.545785,approved,,iOS,Sharqia
KYC000026,U000047,2024-01-30 01:17:49.234184,2024-01-31 08:59:59.220844,rejected,watchlist_hit,iOS,Dakahlia
KYC000027,U000049,2024-02-01 19:50:48.006528,2024-02-03 08:20:03.115749,approved,,Android,Giza
KYC000028,U000050,2024-11-17 06:01:35.442659,2024-11-19 20:45:41.980624,approved,,Android,Cairo
KYC000029,U000052,2024-05-07 22:29:56.669034,2024-05-09 01:05:47.385377,approved,,Android,Dakahlia
KYC000030,U000057,2024-02-10 00:27:40.651465,2024-02-10 22:21:53.827295,rejected,document_quality,Android,Sharqia
KYC000031,U000059,2024-05-09 15:03:08.616889,2024-05-11 01:53:06.640954,approved,,Android,Dakahlia
KYC000032,U000061,2024-07-15 00:46:40.818331,2024-07-15 04:23:37.140247,approved,,iOS,Alexandria
KYC000033,U000062,2024-08-03 22:48:47.678436,2024-08-04 17:44:17.235809,approved,,iOS,Cairo
KYC000034,U000065,2024-05-13 17:54:14.067489,2024-05-17 12:38:50.059339,approved,,iOS,Giza
KYC000035,U000066,2024-06-26 21:02:22.224769,2024-06-29 20:17:56.124318,approved,,iOS,Cairo
KYC000036,U000067,2024-08-29 08:48:46.379907,2024-09-01 08:49:41.981499,approved,,iOS,Cairo
KYC000037,U000069,2024-05-29 06:05:04.563978,2024-05-29 17:47:52.709384,approved,,Android,Dakahlia
KYC000038,U000070,2024-09-09 13:02:44.860176,2024-09-09 20:37:48.510172,rejected,watchlist_hit,Android,Alexandria
KYC000039,U000071,2024-06-05 14:48:26.930264,2024-06-07 06:20:42.758385,approved,,Android,Cairo
KYC000040,U000072,2024-03-15 11:47:00.280410,2024-03-15 17:58:14.564691,approved,,Android,Alexandria
KYC000041,U000073,2024-06-01 15:54:58.979945,2024-06-02 12:14:05.690631,rejected,age_restriction,Android,Cairo
KYC000042,U000074,2024-01-23 06:57:00.195754,2024-01-24 01:53:20.575675,approved,,iOS,Dakahlia
KYC000043,U000075,2024-02-18 06:05:26.611727,2024-02-23 10:11:35.733212,approved,,iOS,Giza
KYC000044,U000076,2024-05-06 19:35:25.573196,2024-05-07 10:00:08.068093,approved,,Android,Cairo
KYC000045,U000077,2024-11-09 03:20:56.917827,2024-11-10 10:17:42.270686,approved,,iOS,Cairo
KYC000046,U000080,2024-08-09 01:30:19.013320,2024-08-09 12:00:15.585669,approved,,iOS,Cairo
KYC000047,U000081,2024-08-31 13:42:31.709137,2024-08-31 15:51:43.368536,approved,,Android,Alexandria
KYC000048,U000083,2024-09-14 11:37:25.802159,2024-09-19 05:55:49.697636,approved,,iOS,Cairo
KYC000049,U000085,2024-02-13 11:18:20.730358,2024-02-17 15:34:36.493934,approved,,Android,Cairo
KYC000050,U000086,2024-11-12 15:09:42.068850,2024-11-13 06:26:26.727211,approved,,iOS,Dakahlia
KYC000051,U000089,2024-04-09 21:55:51.756474,2024-04-10 02:41:23.687836,rejected,document_quality,Android,Dakahlia
KYC000052,U000097,2024-01-08 04:27:00.369433,2024-01-10 10:36:04.158972,approved,,Android,Cairo
KYC000053,U000098,2024-02-04 01:31:52.651139,2024-02-04 13:51:07.390558,rejected,identity_mismatch,Android,Alexandria
KYC000054,U000099,2024-09-16 02:42:40.603109,2024-09-17 04:09:06.628585,approved,,iOS,Cairo
KYC000055,U000100,2024-11-03 09:40:08.190276,2024-11-04 14:35:16.923748,approved,,iOS,Alexandria
KYC000056,U000101,2024-01-13 20:53:25.197363,2024-01-19 04:53:01.712252,approved,,iOS,Cairo
KYC000057,U000102,2024-09-06 16:56:25.780629,2024-09-10 14:37:50.555749,approved,,Android,Dakahlia
KYC000058,U000103,2024-02-10 05:42:40.020534,2024-02-11 22:19:14.143794,approved,,iOS,Giza
KYC000059,U000104,2024-10-20 22:17:04.788860,2024-10-26 02:28:12.172194,approved,,iOS,Cairo
KYC000060,U000105,2024-09-12 12:13:40.718559,2024-09-13 11:31:22.661236,approved,,Web,Dakahlia
KYC000061,U000109,2024-02-10 11:47:12.390066,2024-02-10 13:56:13.371718,approved,,iOS,Dakahlia
KYC000062,U000111,2024-08-03 07:35:48.237498,2024-08-08 21:00:49.554879,approved,,iOS,Cairo
KYC000063,U000112,2024-09-30 16:38:11.824152,2024-10-01 05:43:51.905176,approved,,iOS,Sharqia
KYC000064,U000117,2024-03-01 10:27:37.281389,2024-03-02 17:45:11.630274,approved,,Android,Giza
KYC000065,U000118,2024-07-29 19:11:04.667212,2024-07-31 17:46:55.159911,approved,,Android,Dakahlia
KYC000066,U000119,2024-01-02 10:03:12.484857,2024-01-02 17:13:52.245641,rejected,identity_mismatch,Android,Sharqia
KYC000067,U000120,2024-05-06 04:05:31.799828,2024-05-07 07:17:00.622332,rejected,watchlist_hit,iOS,Dakahlia
KYC000068,U000121,2024-03-17 04:47:12.327584,2024-03-21 18:47:58.281037,approved,,iOS,Alexandria
KYC000069,U000123,2024-08-01 18:35:53.734937,2024-08-04 15:04:38.155294,approved,,iOS,Giza
KYC000070,U000124,2024-06-19 07:06:39.542634,2024-06-20 13:33:34.642167,approved,,iOS,Cairo
KYC000071,U000126,2024-10-01 21:57:00.838716,2024-10-02 18:02:08.578072,rejected,duplicate_account,Android,Alexandria
KYC000072,U000130,2024-07-05 10:25:15.906156,2024-07-09 21:18:31.931284,approved,,iOS,Giza
KYC000073,U000131,2024-01-21 10:27:29.117025,2024-01-27 08:26:14.625830,approved,,iOS,Giza
KYC000074,U000132,2024-05-02 18:49:30.060860,2024-05-05 07:42:50.875487,approved,,iOS,Cairo
KYC000075,U000137,2024-08-09 19:35:21.783595,2024-08-11 12:32:51.650589,rejected,age_restriction,Web,Cairo
KYC000076,U000139,2024-11-19 20:06:49.254077,2024-11-22 02:38:50.651988,rejected,duplicate_account,Android,Giza
KYC000077,U000140,2024-02-16 00:17:02.152752,2024-02-22 13:04:29.878552,approved,,iOS,Cairo
KYC000078,U000141,2024-07-07 20:26:00.060255,2024-07-09 03:39:48.165185,approved,,iOS,Giza
KYC000079,U000142,2024-11-10 01:20:42.328752,2024-11-12 20:04:28.161622,rejected,watchlist_hit,iOS,Giza
KYC000080,U000143,2024-11-01 09:20:26.261785,2024-11-05 08:17:39.412409,approved,,iOS,Alexandria
KYC000081,U000146,2024-03-24 09:18:19.850089,2024-03-24 14:10:53.540758,approved,,iOS,Cairo
KYC000082,U000150,2024-08-25 22:47:49.345072,2024-08-27 20:17:43.802502,approved,,iOS,Giza
KYC000083,U000151,2024-08-31 17:16:03.487778,2024-09-03 02:16:05.597787,approved,,iOS,Alexandria
KYC000084,U000154,2024-09-23 13:43:24.175372,2024-09-24 02:43:58.285627,approved,,iOS,Giza
KYC000085,U000155,2024-08-25 15:12:36.497695,2024-09-02 03:14:59.852419,approved,,iOS,Cairo
KYC000086,U000156,2024-03-05 01:56:16.258487,2024-03-05 11:30:28.522951,approved,,iOS,Dakahlia
KYC000087,U000157,2024-08-08 10:22:38.464354,2024-08-10 14:26:10.256793,approved,,Android,Giza
KYC000088,U000160,2024-01-07 14:27:10.116298,2024-01-08 07:05:28.750093,rejected,duplicate_account,iOS,Giza
KYC000089,U000161,2024-04-30 01:41:34.231339,2024-05-03 05:54:01.727824,rejected,watchlist_hit,Web,Cairo
KYC000090,U000162,2024-05-27 08:43:12.664440,2024-05-31 20:43:52.169573,approved,,Android,Giza
KYC000091,U000164,2024-09-13 18:15:30.856457,2024-09-14 13:34:01.783663,approved,,iOS,Sharqia
KYC000092,U000167,2024-11-24 01:08:11.742066,2024-11-24 05:05:23.830812,approved,,Android,Giza
KYC000093,U000168,2024-03-21 12:08:41.754224,2024-03-22 12:21:46.376859,rejected,age_restriction,Android,Alexandria
KYC000094,U000170,2024-10-30 13:33:33.079677,2024-11-02 09:14:42.213282,approved,,Android,Cairo
KYC000095,U000171,2024-03-21 19:38:09.451203,2024-03-22 23:57:48.640113,approved,,Android,Cairo
KYC000096,U000172,2024-03-09 20:18:57.161478,2024-03-10 02:27:34.529762,approved,,Android,Giza
KYC000097,U000173,2024-10-09 08:54:33.663785,2024-10-11 03:36:19.452445,approved,,iOS,Sharqia
KYC000098,U000175,2024-04-10 17:46:55.645199,2024-04-13 13:08:37.575121,approved,,Android,Alexandria
KYC000099,U000176,2024-04-01 11:34:16.763839,2024-04-10 02:41:00.424728,approved,,Android,Alexandria
KYC000100,U000177,2024-11-12 08:22:14.546177,2024-11-16 06:54:31.946636,approved,,Android,Alexandria
KYC000101,U000178,2024-11-15 03:14:37.558657,2024-11-16 05:23:54.775108,approved,,Web,Alexandria
KYC000102,U000179,2024-01-10 01:35:24.366271,2024-01-10 12:23:29.908873,approved,,Web,Sharqia
KYC000103,U000181,2024-06-28 10:59:00.966755,2024-06-28 20:07:30.228038,approved,,Android,Cairo
KYC000104,U000182,2024-11-25 13:20:23.336910,2024-12-01 19:18:31.270560,approved,,Android,Giza
KYC000105,U000184,2024-02-10 15:35:40.093020,2024-02-12 06:55:07.991188,approved,,iOS,Giza
KYC000106,U000187,2024-03-06 12:55:45.642104,2024-03-07 21:48:31.632820,approved,,iOS,Cairo
KYC000107,U000189,2024-05-22 09:48:57.443163,2024-05-23 04:16:22.543495,rejected,watchlist_hit,Android,Alexandria
KYC000108,U000190,2024-07-24 12:10:43.607469,2024-07-29 07:38:15.106856,approved,,Android,Giza
KYC000109,U000191,2024-02-09 02:09:53.603970,2024-02-09 02:50:04.976877,approved,,iOS,Cairo
KYC000110,U000194,2024-09-23 18:53:11.462720,2024-09-27 00:58:15.184642,approved,,iOS,Cairo
KYC000111,U000197,2024-02-05 18:27:07.677098,2024-02-07 11:51:19.413989,approved,,iOS,Dakahlia
KYC000112,U000198,2024-09-04 05:01:26.081982,2024-09-04 06:13:06.867905,approved,,Android,Sharqia
KYC000113,U000199,2024-09-29 01:41:51.615695,2024-09-29 10:58:13.056291,approved,,iOS,Alexandria
KYC000114,U000200,2024-01-05 00:37:36.579332,2024-01-08 07:33:52.158671,approved,,iOS,Giza
KYC000115,U000203,2024-02-01 13:35:09.000678,2024-02-03 10:56:06.504404,approved,,Android,Cairo
KYC000116,U000205,2024-08-01 10:47:16.803420,2024-08-06 16:22:14.994464,rejected,watchlist_hit,Android,Cairo
KYC000117,U000206,2024-06-19 20:40:09.012837,2024-06-19 22:15:22.674705,approved,,iOS,Giza
KYC000118,U000210,2024-01-15 20:43:25.609817,2024-01-22 02:54:25.987829,approved,,iOS,Cairo
KYC000119,U000213,2024-09-01 02:20:38.559345,2024-09-01 08:13:33.168506,rejected,watchlist_hit,Android,Dakahlia
KYC000120,U000216,2024-09-30 21:43:46.834372,2024-10-06 01:25:36.159754,approved,,iOS,Cairo
KYC000121,U000217,2024-01-29 21:03:41.659749,2024-01-31 04:00:51.945777,approved,,iOS,Cairo
KYC000122,U000218,2024-02-04 04:56:04.682833,2024-02-06 15:01:37.713591,approved,,iOS,Cairo
KYC000123,U000221,2024-09-17 13:08:02.374879,2024-09-18 12:51:50.798300,approved,,iOS,Cairo
KYC000124,U000222,2024-01-27 15:06:18.917146,2024-01-30 05:56:19.227034,rejected,age_restriction,Android,Cairo
KYC000125,U000223,2024-10-03 01:00:45.886830,2024-10-05 13:17:38.002853,approved,,iOS,Giza
KYC000126,U000224,2024-02-22 23:21:13.569400,2024-02-24 08:00:48.317572,approved,,iOS,Cairo
KYC000127,U000225,2024-03-08 20:08:25.808003,2024-03-10 02:42:29.620671,approved,,Android,Dakahlia
KYC000128,U000226,2024-01-08 13:16:55.063654,2024-01-10 12:01:47.598074,rejected,duplicate_account,iOS,Cairo
KYC000129,U000228,2024-05-26 00:40:25.148174,2024-05-27 10:04:22.417011,approved,,Web,Sharqia
KYC000130,U000229,2024-05-22 05:04:54.529892,2024-05-23 05:50:39.879686,approved,,Android,Dakahlia
KYC000131,U000230,2024-06-16 08:40:54.655521,2024-06-16 18:58:51.729055,approved,,iOS,Cairo
KYC000132,U000231,2024-01-24 07:07:19.842626,2024-01-27 12:28:34.616919,rejected,watchlist_hit,Android,Cairo
KYC000133,U000233,2024-09-03 09:45:02.341557,2024-09-06 09:19:30.486627,approved,,Android,Dakahlia
KYC000134,U000236,2024-03-24 16:47:28.126943,2024-03-26 06:26:47.877595,approved,,Web,Cairo
KYC000135,U000237,2024-04-06 20:40:25.098789,2024-04-08 06:12:24.128909,approved,,iOS,Sharqia
KYC000136,U000240,2024-05-24 05:56:44.421254,2024-05-26 04:08:54.975229,approved,,Android,Cairo
KYC000137,U000241,2024-01-02 01:59:11.549857,2024-01-04 02:28:31.748053,rejected,duplicate_account,Web,Giza
KYC000138,U000242,2024-06-06 14:58:22.048965,2024-06-07 13:19:01.196885,approved,,iOS,Cairo
KYC000139,U000243,2024-06-19 10:19:46.159126,2024-06-20 04:01:17.212105,approved,,Android,Alexandria
KYC000140,U000244,2024-09-25 10:36:55.730548,2024-10-03 16:36:01.491688,rejected,identity_mismatch,Android,Alexandria
KYC000141,U000245,2024-07-31 06:32:04.586388,2024-08-01 03:10:47.116760,approved,,Android,Cairo
KYC000142,U000246,2024-04-30 10:31:13.005756,2024-05-03 05:26:58.729968,rejected,identity_mismatch,iOS,Giza
KYC000143,U000250,2024-08-21 06:10:26.487171,2024-08-22 22:56:12.040304,approved,,iOS,Alexandria
KYC000144,U000251,2024-03-29 17:02:20.703515,2024-03-31 02:09:19.347550,rejected,identity_mismatch,Android,Cairo
KYC000145,U000252,2024-02-22 16:04:21.195871,2024-02-23 10:59:14.414375,rejected,age_restriction,Android,Sharqia
KYC000146,U000254,2024-03-08 11:42:54.649236,2024-03-09 16:44:35.243272,rejected,watchlist_hit,Android,Alexandria
KYC000147,U000257,2024-10-03 21:37:44.595385,2024-10-14 22:51:26.675399,approved,,Android,Dakahlia
KYC000148,U000258,2024-10-07 13:59:07.083116,2024-10-11 04:48:16.242473,approved,,iOS,Giza
KYC000149,U000259,2024-02-29 04:56:18.509953,2024-03-01 22:22:52.767635,rejected,watchlist_hit,iOS,Cairo
KYC000150,U000260,2024-01-10 10:41:58.793903,2024-01-11 06:20:09.400416,approved,,iOS,Dakahlia
KYC000151,U000266,2024-09-17 00:02:49.375005,2024-09-17 10:56:41.321440,approved,,Android,Giza
KYC000152,U000267,2024-03-08 22:07:04.723525,2024-03-10 11:29:32.071272,approved,,Android,Cairo
KYC000153,U000268,2024-04-10 06:23:03.118619,2024-04-13 22:58:22.478595,rejected,watchlist_hit,Web,Alexandria
KYC000154,U000269,2024-03-18 04:08:23.035967,2024-03-18 07:55:42.207514,approved,,Android,Giza
KYC000155,U000273,2024-09-10 06:51:29.164352,2024-09-11 02:21:53.843133,approved,,Android,Cairo
KYC000156,U000275,2024-03-04 12:56:25.438384,2024-03-04 13:06:35.441379,approved,,iOS,Cairo
KYC000157,U000278,2024-05-15 21:36:13.789178,2024-05-17 10:19:14.728051,rejected,document_quality,Android,Cairo
KYC000158,U000279,2024-07-08 12:21:38.685047,2024-07-08 18:29:44.382279,rejected,identity_mismatch,Android,Giza
KYC000159,U000280,2024-05-04 12:17:38.837935,2024-05-07 03:37:01.130576,approved,,iOS,Alexandria
KYC000160,U000282,2024-03-25 05:31:34.410769,2024-03-25 11:46:18.018901,approved,,iOS,Cairo
KYC000161,U000283,2024-11-08 06:07:41.445674,2024-11-10 20:14:22.043954,rejected,age_restriction,Android,Giza
KYC000162,U000284,2024-01-30 20:13:27.008332,2024-01-31 07:04:41.940702,approved,,iOS,Giza
KYC000163,U000285,2024-03-18 12:52:05.417047,2024-03-18 14:51:01.048215,approved,,Android,Giza
KYC000164,U000286,2024-02-07 00:00:56.000789,2024-02-07 23:58:40.992559,approved,,Android,Giza
KYC000165,U000288,2024-08-14 19:07:03.853503,2024-08-15 21:03:52.403551,approved,,Android,Sharqia
KYC000166,U000289,2024-07-14 17:41:24.539959,2024-07-20 22:33:52.209533,approved,,Android,Dakahlia
KYC000167,U000291,2024-03-16 18:50:38.434940,2024-03-18 23:51:51.669565,rejected,duplicate_account,Android,Dakahlia
KYC000168,U000292,2024-04-23 17:09:46.994469,2024-04-25 07:08:43.700839,approved,,Android,Alexandria
KYC000169,U000295,2024-01-26 00:02:36.403597,2024-01-28 21:36:43.048686,rejected,watchlist_hit,Android,Sharqia
KYC000170,U000296,2024-03-26 07:40:44.266499,2024-03-29 21:27:27.673765,rejected,duplicate_account,iOS,Cairo
KYC000171,U000297,2024-09-03 16:46:24.532846,2024-09-04 02:57:23.859332,approved,,iOS,Giza
KYC000172,U000298,2024-10-07 22:54:47.091054,2024-10-11 06:10:54.801329,approved,,Web,Dakahlia
KYC000173,U000301,2024-02-19 04:24:33.668099,2024-02-20 01:23:43.166373,approved,,Android,Cairo
KYC000174,U000302,2024-01-15 14:21:31.135609,2024-01-17 08:37:50.714635,approved,,iOS,Cairo
KYC000175,U000304,2024-08-28 02:05:51.018225,2024-08-30 19:05:52.869987,rejected,watchlist_hit,Android,Sharqia
KYC000176,U000312,2024-04-15 18:42:54.704937,2024-04-15 22:11:15.025741,approved,,Android,Cairo
KYC000177,U000313,2024-03-30 02:21:53.561765,2024-04-01 17:57:42.584213,approved,,iOS,Cairo
KYC000178,U000314,2024-08-22 11:12:01.741146,2024-08-23 23:07:04.602343,approved,,Android,Cairo
KYC000179,U000316,2024-09-12 03:01:42.151377,2024-09-13 12:29:30.272749,approved,,iOS,Alexandria
KYC000180,U000320,2024-05-21 07:52:32.461933,2024-05-22 04:37:03.708779,approved,,iOS,Giza
KYC000181,U000321,2024-04-29 01:23:13.752192,2024-05-01 06:09:23.805577,rejected,identity_mismatch,iOS,Giza
KYC000182,U000322,2024-04-26 23:49:11.865896,2024-04-30 07:14:41.297053,approved,,iOS,Giza
KYC000183,U000323,2024-01-24 19:22:26.627341,2024-01-25 00:04:46.435439,approved,,iOS,Sharqia
KYC000184,U000325,2024-04-08 22:15:21.730960,2024-04-09 23:45:35.744749,approved,,Web,Cairo
KYC000185,U000327,2024-06-02 13:11:20.868635,2024-06-06 12:49:28.547217,approved,,Android,Giza
KYC000186,U000329,2024-10-07 15:18:45.619750,2024-10-08 09:41:23.517955,approved,,iOS,Alexandria
KYC000187,U000330,2024-01-27 00:05:29.154324,2024-01-31 15:37:06.024249,approved,,iOS,Cairo
KYC000188,U000331,2024-02-21 22:39:44.999066,2024-02-22 11:54:13.032743,approved,,Android,Giza
KYC000189,U000332,2024-11-05 15:09:05.683004,2024-11-06 18:55:12.503080,approved,,Android,Giza
KYC000190,U000333,2024-05-30 08:26:04.050970,2024-06-04 04:58:57.868576,approved,,iOS,Cairo
KYC000191,U000336,2024-11-24 03:41:26.374129,2024-11-25 11:11:42.077850,approved,,iOS,Giza
KYC000192,U000337,2024-06-28 09:14:44.407755,2024-07-01 18:58:57.386834,approved,,Android,Cairo
KYC000193,U000338,2024-04-09 03:11:45.471808,2024-04-10 19:42:05.723156,approved,,Android,Dakahlia
KYC000194,U000341,2024-06-02 21:02:53.171012,2024-06-03 08:53:38.330274,approved,,iOS,Cairo
KYC000195,U000342,2024-09-27 03:46:21.631836,2024-09-30 18:28:23.481079,approved,,iOS,Sharqia
KYC000196,U000344,2024-09-08 07:21:34.432167,2024-09-09 15:02:44.388185,approved,,Android,Cairo
KYC000197,U000347,2024-08-26 13:25:25.753702,2024-08-27 09:52:01.292765,approved,,Android,Giza
KYC000198,U000348,2024-07-31 16:39:51.635649,2024-08-01 15:02:27.295591,approved,,Android,Cairo
KYC000199,U000349,2024-10-29 07:56:22.801545,2024-10-30 21:45:15.518792,approved,,iOS,Alexandria
KYC000200,U000350,2024-11-16 04:52:47.725610,2024-11-20 00:33:32.611816,approved,,iOS,Sharqia
KYC000201,U000351,2024-09-04 10:25:51.199961,2024-09-09 01:45:40.558061,approved,,iOS,Giza
KYC000202,U000353,2024-10-26 05:16:07.147543,2024-10-26 10:20:13.760540,rejected,identity_mismatch,Android,Sharqia
KYC000203,U000354,2024-10-23 14:05:21.981015,2024-10-23 17:19:55.546146,approved,,Android,Giza
KYC000204,U000356,2024-07-23 20:27:59.797293,2024-07-24 15:55:00.603039,approved,,Web,Cairo
KYC000205,U000357,2024-01-08 05:18:30.033440,2024-01-09 06:48:22.783141,approved,,iOS,Cairo
KYC000206,U000358,2024-09-02 13:23:10.097088,2024-09-06 23:41:51.105067,approved,,iOS,Alexandria
KYC000207,U000359,2024-09-01 11:21:44.512867,2024-09-01 18:26:19.868595,approved,,Android,Sharqia
KYC000208,U000362,2024-09-11 22:32:49.847421,2024-09-13 03:11:58.157295,rejected,document_quality,Android,Dakahlia
KYC000209,U000366,2024-05-13 01:39:18.896832,2024-05-23 13:23:50.504154,approved,,iOS,Dakahlia
KYC000210,U000367,2024-08-15 09:21:29.055615,2024-08-15 18:04:50.251786,approved,,Android,Giza
KYC000211,U000368,2024-02-04 12:52:03.432624,2024-02-06 17:05:57.963976,rejected,document_quality,iOS,Giza
KYC000212,U000369,2024-04-03 10:06:04.271369,2024-04-04 18:16:56.817383,approved,,iOS,Giza
KYC000213,U000370,2024-03-04 16:13:57.027994,2024-03-05 21:04:07.352645,approved,,iOS,Giza
KYC000214,U000372,2024-06-04 09:29:28.888568,2024-06-04 15:58:56.993512,approved,,Android,Alexandria
KYC000215,U000373,2024-06-26 14:15:00.758755,2024-06-26 21:47:41.620083,approved,,Android,Cairo
KYC000216,U000375,2024-10-01 16:49:32.112495,2024-10-01 22:30:11.271083,approved,,Android,Alexandria
KYC000217,U000377,2024-03-04 00:29:16.807279,2024-03-04 06:01:08.767449,rejected,watchlist_hit,iOS,Giza
KYC000218,U000378,2024-05-01 21:11:00.794633,2024-05-03 13:43:24.915293,approved,,Android,Cairo
KYC000219,U000380,2024-03-26 22:24:43.204183,2024-03-28 02:31:10.630030,rejected,duplicate_account,iOS,Sharqia
KYC000220,U000381,2024-09-11 09:17:05.634250,2024-09-11 23:25:07.705302,approved,,iOS,Dakahlia
KYC000221,U000382,2024-08-03 05:58:35.063683,2024-08-04 12:10:06.742364,approved,,Android,Giza
KYC000222,U000384,2024-04-10 13:36:37.369776,2024-04-13 20:40:20.268243,approved,,Android,Cairo
KYC000223,U000385,2024-09-29 12:28:12.261105,2024-10-01 14:25:40.927685,approved,,iOS,Giza
KYC000224,U000388,2024-06-18 08:22:13.510983,2024-06-19 23:27:12.630340,approved,,Android,Sharqia
KYC000225,U000389,2024-10-16 10:23:21.927845,2024-10-19 13:20:34.663634,approved,,Android,Giza
KYC000226,U000390,2024-06-22 06:19:16.640048,2024-06-23 17:05:35.347885,approved,,iOS,Cairo
KYC000227,U000394,2024-01-24 03:24:40.905563,2024-01-25 20:54:27.180836,rejected,document_quality,Android,Giza
KYC000228,U000396,2024-07-16 11:13:24.877634,2024-07-17 09:09:27.389510,approved,,Android,Dakahlia
KYC000229,U000399,2024-05-04 07:25:16.292307,2024-05-04 07:28:35.934707,approved,,Android,Giza
KYC000230,U000400,2024-04-29 06:59:05.843382,2024-04-30 09:06:52.174986,approved,,Android,Cairo
KYC000231,U000401,2024-03-14 02:49:19.375983,2024-03-14 16:07:07.062837,approved,,iOS,Giza
KYC000232,U000402,2024-11-01 10:22:51.474157,2024-11-03 09:52:20.022786,approved,,iOS,Giza
KYC000233,U000406,2024-05-13 02:56:40.612724,2024-05-21 23:13:20.780844,approved,,Android,Cairo
KYC000234,U000407,2024-08-11 02:18:20.555264,2024-08-12 05:05:45.977384,rejected,age_restriction,Android,Giza
KYC000235,U000409,2024-08-29 22:49:02.855896,2024-08-30 17:38:09.691776,approved,,Web,Giza
KYC000236,U000411,2024-08-26 11:59:03.933217,2024-08-28 05:02:09.363361,approved,,iOS,Cairo
KYC000237,U000412,2024-06-29 13:56:37.244768,2024-07-01 17:41:24.760827,approved,,Android,Dakahlia
KYC000238,U000413,2024-07-03 06:13:05.211182,2024-07-04 07:15:29.257598,approved,,iOS,Alexandria
KYC000239,U000414,2024-03-25 10:47:22.811829,2024-04-01 05:30:10.744022,approved,,iOS,Cairo
KYC000240,U000415,2024-02-15 18:28:30.879587,2024-02-16 09:43:42.567595,approved,,Android,Giza
KYC000241,U000419,2024-09-17 11:57:27.782176,2024-09-17 18:23:48.678724,approved,,Android,Sharqia
KYC000242,U000420,2024-04-30 17:42:05.051952,2024-05-01 02:07:09.367723,approved,,iOS,Cairo
KYC000243,U000422,2024-03-02 12:30:00.138337,2024-03-05 08:46:02.046664,rejected,identity_mismatch,Android,Cairo
KYC000244,U000423,2024-02-10 10:22:32.541954,2024-02-11 13:32:24.375994,approved,,Web,Sharqia
KYC000245,U000426,2024-02-04 04:06:33.121830,2024-02-06 13:47:18.245495,rejected,duplicate_account,Android,Alexandria
KYC000246,U000428,2024-10-02 07:22:40.290049,2024-10-02 20:34:28.546329,approved,,Android,Cairo
